Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,J.A. Happ,NYY,5,19,1.8,4,1,0,1,1,0,1,0,0,6,0.222222222,0.263157894,0.277777777,0.237673358,7410
2019,Austin Adams,2 Tms,16.2,80,7.02,18,5,0,13,13,4,13,1,0,14,0.272727272,0.3875,0.53030303,0.379133307,7411
2019,Jay Jackson,MIL,30.1,132,4.4506,22,4,0,15,15,6,18,1,2,47,0.201834862,0.320610687,0.403669724,0.308559182,7432
2019,Ben Zobrist,CHC,1,5,0,0,0,0,0,0,0,2,0,0,1,0,0.4,0,0.27611928,7435
2019,Wade Davis,COL,42.2,206,8.6484,51,9,1,42,41,7,29,0,2,42,0.291428571,0.398058252,0.474285714,0.374172668,7441
2019,Gio Gonzalez,MIL,6.1,23,0,3,0,0,0,0,0,1,0,0,7,0.136363636,0.173913043,0.136363636,0.143440366,7448
2019,Anthony Swarzak,2 Tms,53.1,234,4.5562,52,4,1,30,27,12,27,3,0,52,0.251207729,0.337606837,0.45410628,0.331920312,7466
2019,Alex Avila,ARI,2,8,4.5,2,0,0,1,1,0,1,0,0,1,0.285714285,0.375,0.285714285,0.303689793,7476
2019,Collin McHugh,HOU,33.2,142,2.6733,26,8,0,11,10,3,16,0,0,40,0.208,0.295774647,0.344,0.279160893,7531
2019,Jake McGee,COL,41.1,180,4.3548,47,8,2,25,20,11,11,1,3,35,0.288343558,0.338888888,0.564417177,0.367579485,7550
2019,Nick Vincent,2 Tms,43.2,187,3.916,43,6,1,20,19,7,12,3,4,47,0.254437869,0.315508021,0.426035502,0.30822825,7555
2019,Tommy Milone,SEA,80.2,324,4.7975,72,18,1,44,43,18,15,1,2,60,0.236842105,0.274691358,0.480263157,0.309224666,7608
2019,Mark Reynolds,COL,1,7,18,2,0,0,2,2,0,1,0,1,0,0.4,0.571428571,0.4,0.449819684,7619
2019,Carlos Torres,DET,6,29,7.5,9,1,0,5,5,2,1,0,1,8,0.333333333,0.379310344,0.592592592,0.404238314,7624
2019,Neil Ramirez,2 Tms,24,109,5.625,26,6,0,16,15,7,15,0,0,24,0.282608695,0.376146788,0.576086956,0.390239753,7677
2019,Juan Nicasio,PHI,47.1,217,4.7535,57,13,1,27,25,4,21,5,2,45,0.298429319,0.37037037,0.439790575,0.338871106,7731
2019,Wily Peralta,KCR,40.1,176,5.8017,45,8,0,28,26,7,19,1,2,24,0.296052631,0.377142857,0.486842105,0.363575681,7738
2019,Shawn Kelley,TEX,47.1,205,4.9437,55,11,1,27,26,12,11,2,2,43,0.291005291,0.334975369,0.55026455,0.362168036,7773
2019,Richard Bleier,BAL,53.1,226,5.2313,62,19,1,32,31,5,8,2,4,29,0.293838862,0.328888888,0.464454976,0.329764871,7803
2019,Hunter Strickland,2 Tms,24.1,105,5.548,22,6,0,15,15,6,8,0,3,18,0.236559139,0.314285714,0.494623655,0.336317523,7836
2019,Jerry Blevins,ATL,32.1,141,3.8969,25,6,0,15,14,5,16,2,2,37,0.20661157,0.304964539,0.380165289,0.289746879,7841
2019,Cory Gearrin,2 Tms,53.1,231,3.5438,53,7,1,21,21,4,23,1,4,45,0.259803921,0.346320346,0.362745098,0.310961997,7947
2019,Anthony Bass,SEA,48,189,3.5625,30,4,1,20,19,5,17,2,1,43,0.178571428,0.256684491,0.303571428,0.240860755,7982
2019,Marcus Walden,BOS,78,327,3.8077,61,17,1,38,33,6,32,1,5,76,0.212543554,0.300613496,0.341463414,0.280062904,8004
2019,Jason Vargas,NYM,1,7,36,4,1,0,4,4,1,0,0,0,1,0.571428571,0.571428571,1.142857142,0.699345623,8044
2019,Will Smith,SFG,65.1,257,2.7551,46,4,2,20,20,10,21,2,0,96,0.19574468,0.260700389,0.357446808,0.260878424,8048
2019,Dan Jennings,WSN,4.2,32,13.4999,8,0,0,8,7,1,7,2,1,9,0.333333333,0.5,0.458333333,0.406583826,8073
2019,Bryan Shaw,COL,72,311,5.375,69,15,4,44,43,12,29,1,5,58,0.25090909,0.332258064,0.465454545,0.335307693,8110
2019,Steven Wright,BOS,6.1,33,8.5264,11,1,0,6,6,3,4,0,1,5,0.407407407,0.484848484,0.777777777,0.503119685,8185
2019,David Robertson,PHI,6.2,33,5.4,8,1,0,4,4,1,6,0,0,6,0.296296296,0.424242424,0.444444444,0.379262086,8241
2019,Tony Sipp,WSN,21,92,4.7143,19,4,0,12,11,1,9,0,1,18,0.240506329,0.315217391,0.329113924,0.281659126,8280
2019,JC Ramirez,LAA,8,34,4.5,8,4,1,4,4,1,1,0,1,4,0.25,0.294117647,0.53125,0.337763187,8302
2019,Daniel Descalso,CHC,1,5,18,2,1,0,2,2,1,0,0,0,0,0.4,0.4,1.2,0.631239843,8392
2019,Deolis Guerra,MIL,0.2,6,53.9973,4,0,0,4,4,1,0,0,0,0,0.8,0.666666666,1.4,0.758060674,8410
2019,Ehire Adrianza,MIN,1,8,27,5,2,1,3,3,0,0,0,0,1,0.625,0.625,1.125,0.712695763,8418
2019,Buddy Boshers,TOR,19,87,4.2632,20,5,0,10,9,3,9,0,1,25,0.263157894,0.348837209,0.447368421,0.340338983,8490
2019,Gerardo Parra,WSN,0,5,45,1,0,0,5,5,0,4,0,0,0,1,1,1,0.726160574,8553
2019,Justin Miller,WSN,15.2,65,4.0213,16,0,0,8,7,5,4,0,2,11,0.275862068,0.34375,0.534482758,0.366609557,8580
2019,Tim Federowicz,TEX,1,6,9,3,0,0,1,1,1,0,0,0,0,0.5,0.5,1,0.613125662,8609
2019,Kendrys Morales,OAK,1,7,9,1,0,0,1,1,0,2,0,1,0,0.333333333,0.571428571,0.333333333,0.424203702,8610
2019,Andrew Cashner,BOS,23.1,95,3.8571,17,7,1,10,10,1,12,0,0,21,0.209876543,0.308510638,0.358024691,0.289634741,8782
2019,Oliver Drake,TBR,56,219,3.2143,36,8,0,20,20,9,19,1,1,70,0.180904522,0.255707762,0.356783919,0.260808743,8823
2019,Adam Warren,SDP,28.2,124,5.3372,28,3,1,18,17,9,12,0,1,25,0.256880733,0.336065573,0.550458715,0.366243973,9029
2019,Jeanmar Gomez,TEX,15.1,73,8.2174,23,7,0,15,14,2,6,0,1,10,0.359375,0.410958904,0.5625,0.403168151,9033
2019,Kirby Yates,SDP,60.2,243,1.1868,41,11,0,14,8,2,13,1,7,101,0.185520361,0.252066115,0.262443438,0.227923583,9073
2019,Brad Hand,CLE,57.1,242,3.2965,53,13,0,21,21,6,18,5,4,84,0.242009132,0.311203319,0.383561643,0.291827753,9111
2019,Nathan Eovaldi,BOS,13.1,61,5.4,17,6,0,8,8,1,4,0,1,18,0.303571428,0.360655737,0.464285714,0.351082608,9132
2019,Alex Wilson,MIL,11.1,57,9.5294,15,3,0,12,12,3,9,2,0,13,0.3125,0.421052631,0.5625,0.402312285,9239
2019,Chris Davis,BAL,1,5,9,2,1,0,1,1,1,0,0,0,1,0.4,0.4,1.2,0.631239843,9272
2019,Jared Hughes,2 Tms,71.1,289,4.0374,57,12,0,37,32,13,27,1,2,54,0.223529411,0.301754385,0.423529411,0.306435348,9325
2019,Josh Tomlin,ATL,76.1,307,3.7729,78,9,3,34,32,14,7,0,0,48,0.265306122,0.280528052,0.459183673,0.30608026,9388
2019,Zac Rosscup,3 Tms,18,94,5,22,4,0,15,10,2,19,1,0,26,0.293333333,0.436170212,0.426666666,0.377256537,9419
2019,Ryan Buchter,OAK,45.1,198,2.9779,42,8,1,16,15,8,23,2,2,50,0.251497005,0.343589743,0.45508982,0.333956279,9456
2019,Dan Straily,BAL,14.1,76,13.814,26,4,0,22,22,10,7,0,1,15,0.388059701,0.447368421,0.895522388,0.529587205,9460
2019,Jeremy Jeffress,MIL,52,225,5.0192,54,10,0,32,29,5,17,0,5,46,0.268656716,0.340807174,0.393034825,0.31888019,9490
2019,Brian Moran,MIA,6.1,29,4.2632,6,1,1,3,3,1,2,1,2,10,0.25,0.357142857,0.5,0.348991915,9646
2019,Michael Blazek,WSN,5,26,7.2,6,1,0,4,4,1,5,0,0,0,0.285714285,0.423076923,0.476190476,0.387928096,9654
2019,David Hale,NYY,37.2,157,3.1062,39,12,2,13,13,2,7,1,1,23,0.263513513,0.299363057,0.412162162,0.297430275,9756
2019,Joe Kelly,LAD,51.1,226,4.5584,49,10,0,31,26,6,22,2,3,62,0.243781094,0.327433628,0.383084577,0.305645587,9761
2019,Brian Dozier,WSN,1,5,18,2,1,0,2,2,1,0,0,0,0,0.4,0.4,1.2,0.631239843,9810
2019,Sergio Romo,2 Tms,60.1,249,3.4309,50,11,1,27,23,7,17,3,2,60,0.221238938,0.277108433,0.371681415,0.270526818,9817
2019,Chaz Roe,TBR,51,229,4.0588,49,10,0,27,23,3,31,2,1,65,0.251282051,0.355263157,0.348717948,0.309863209,9866
2019,Chris Rusin,COL,1,9,36,5,2,0,4,4,1,1,0,0,0,0.714285714,0.666666666,1.428571428,0.755820327,9895
2019,Brandon Kintzler,CHC,57,227,2.6842,46,9,3,18,17,5,13,3,4,48,0.220095693,0.277533039,0.363636363,0.26889846,9939
2019,Mike Dunn,COL,17.2,75,7.1321,17,3,1,14,14,4,6,0,0,15,0.261538461,0.306666666,0.523076923,0.332072353,9948
2019,Chris Owings,KCR,1.2,12,21.5996,6,1,0,4,4,2,1,0,0,0,0.545454545,0.583333333,1.181818181,0.699571788,10030
2019,Max Stassi,HOU,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10059
2019,Kyle Gibson,MIN,5.1,27,3.375,7,2,0,3,2,1,3,0,0,8,0.291666666,0.37037037,0.5,0.36748887,10123
2019,Brad Boxberger,KCR,26.2,122,5.4,25,5,1,16,16,3,17,0,1,27,0.242718446,0.352459016,0.398058252,0.326221259,10133
2019,Ryan Weber,BOS,29.1,128,3.9886,32,7,0,15,13,3,6,0,1,22,0.266666666,0.307086614,0.4,0.30179283,10160
2019,Shelby Miller,TEX,14.2,69,6.75,19,1,0,14,11,3,6,0,1,10,0.316666666,0.382352941,0.483333333,0.366770979,10197
2019,Aroldis Chapman,NYY,57,235,2.2105,38,7,0,18,14,3,25,0,1,85,0.185365853,0.273504273,0.263414634,0.242141092,10233
2019,Ryan Tepera,TOR,20.2,85,4.3548,18,4,0,10,10,4,7,2,0,14,0.24,0.297619047,0.453333333,0.3021023,10291
2019,Erasmo Ramirez,BOS,3,15,12,4,1,0,4,4,2,1,0,1,1,0.333333333,0.428571428,0.916666666,0.526775769,10314
2019,Juan Minaya,CHW,27.2,126,3.9036,31,11,1,13,12,4,12,0,2,27,0.276785714,0.357142857,0.5,0.360608239,10341
2019,Aaron Loup,SDP,3.1,14,0,2,1,0,0,0,0,1,0,1,5,0.181818181,0.285714285,0.272727272,0.249699507,10343
2019,John Ryan Murphy,ARI,3,22,27,10,3,0,9,9,3,3,0,0,0,0.526315789,0.59090909,1.157894736,0.682633297,10346
2019,Robbie Erlin,SDP,53.1,241,5.4,69,10,0,35,32,6,14,0,1,50,0.31081081,0.35,0.436936936,0.33448577,10354
2019,Brooks Pounders,NYM,7.1,34,6.1364,9,1,1,5,5,1,2,0,1,5,0.3,0.363636363,0.5,0.363717899,10387
2019,Mychal Givens,BAL,63,260,4.5714,49,4,3,35,32,13,26,1,2,86,0.213043478,0.296153846,0.426086956,0.303406304,10430
2019,Jake Petricka,MIL,8,36,3.375,6,3,0,3,3,0,6,1,0,3,0.206896551,0.333333333,0.310344827,0.277437639,10534
2019,Jimmy Nelson,MIL,10,42,3.6,9,1,0,4,4,2,7,0,1,13,0.264705882,0.404761904,0.470588235,0.37773096,10547
2019,Chad Bettis,COL,50.1,223,5.3642,58,11,1,33,30,8,13,2,5,33,0.284313725,0.342342342,0.465686274,0.339378024,10587
2019,Scott Alexander,LAD,17.1,76,3.6346,17,3,1,7,7,2,7,2,1,9,0.25,0.328947368,0.411764705,0.308033787,10591
2019,Tyler Thornburg,BOS,18.2,86,7.7143,21,10,1,16,16,4,10,0,1,22,0.28,0.372093023,0.6,0.398763561,10688
2019,Trevor Rosenthal,2 Tms,15.1,85,13.5,11,1,0,24,23,0,26,0,4,17,0.207547169,0.488095238,0.226415094,0.365921394,10745
2019,Shane Greene,2 Tms,62.2,252,2.2979,46,7,0,22,16,8,17,1,3,64,0.2,0.262948207,0.334782608,0.25677308,10756
2019,Jedd Gyorko,STL,0.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10816
2019,R.J. Alaniz,2 Tms,15.2,71,9.1915,19,5,0,17,16,3,7,0,0,13,0.301587301,0.366197183,0.523809523,0.370418685,10819
2019,Asher Wojciechowski,BAL,0.2,3,0,1,0,0,0,0,0,0,0,0,2,0.333333333,0.333333333,0.333333333,0.289870024,10836
2019,Adam Kolarek,2 Tms,55,229,3.2727,48,8,1,22,20,7,16,4,3,45,0.228571428,0.292576419,0.376190476,0.280479263,10843
2019,Chasen Shreve,STL,2,10,9,2,2,0,2,2,0,1,0,1,2,0.25,0.4,0.5,0.384284842,10855
